# wavelength(um) transit_depth error
4.96330484e+01 3.17442431e-04 1.00000000e-05
4.96297397e+01 3.19945710e-04 1.00000000e-05
4.96264313e+01 3.49358903e-04 1.00000000e-05
4.96231231e+01 3.15306872e-04 1.00000000e-05
4.96198151e+01 3.20940567e-04 1.00000000e-05
4.96165073e+01 3.23405662e-04 1.00000000e-05
4.96131998e+01 3.23757225e-04 1.00000000e-05
4.96098925e+01 3.31165725e-04 1.00000000e-05
4.96065854e+01 3.24875923e-04 1.00000000e-05
4.96032785e+01 3.30150119e-04 1.00000000e-05
4.95999718e+01 3.21681076e-04 1.00000000e-05
4.95966654e+01 3.35640232e-04 1.00000000e-05
4.95933591e+01 3.07556334e-04 1.00000000e-05
4.95900531e+01 3.25297758e-04 1.00000000e-05
4.95867474e+01 3.39414536e-04 1.00000000e-05
4.95834418e+01 3.16442803e-04 1.00000000e-05
4.95801365e+01 3.14977496e-04 1.00000000e-05
4.95768313e+01 3.24372395e-04 1.00000000e-05
4.95735264e+01 3.15889945e-04 1.00000000e-05
4.95702217e+01 3.17604618e-04 1.00000000e-05
4.95669173e+01 3.43592540e-04 1.00000000e-05
4.95636130e+01 3.15579081e-04 1.00000000e-05
4.95603090e+01 3.29746653e-04 1.00000000e-05
4.95570052e+01 3.19309985e-04 1.00000000e-05
4.95537016e+01 3.38039200e-04 1.00000000e-05
4.95503983e+01 3.44106078e-04 1.00000000e-05
4.95470951e+01 3.20139686e-04 1.00000000e-05
4.95437922e+01 3.27590486e-04 1.00000000e-05
4.95404895e+01 3.10950676e-04 1.00000000e-05
4.95371870e+01 3.23558997e-04 1.00000000e-05
4.95338848e+01 3.38729291e-04 1.00000000e-05
4.95305828e+01 3.04065228e-04 1.00000000e-05
4.95272809e+01 3.21428105e-04 1.00000000e-05
4.95239793e+01 3.22788710e-04 1.00000000e-05
4.95206780e+01 3.40987282e-04 1.00000000e-05
4.95173768e+01 3.06897874e-04 1.00000000e-05
4.95140759e+01 3.06226383e-04 1.00000000e-05
4.95107751e+01 3.23752829e-04 1.00000000e-05
4.95074746e+01 3.23784470e-04 1.00000000e-05
4.95041744e+01 3.22414468e-04 1.00000000e-05
4.95008743e+01 3.40632922e-04 1.00000000e-05
4.94975745e+01 3.13424645e-04 1.00000000e-05
4.94942748e+01 3.21492084e-04 1.00000000e-05
4.94909754e+01 3.22643235e-04 1.00000000e-05
4.94876763e+01 3.13136474e-04 1.00000000e-05
4.94843773e+01 3.41060517e-04 1.00000000e-05
4.94810786e+01 3.27750047e-04 1.00000000e-05
4.94777801e+01 3.18728898e-04 1.00000000e-05
4.94744818e+01 3.28089198e-04 1.00000000e-05
4.94711837e+01 3.12205666e-04 1.00000000e-05
4.94678858e+01 3.47985266e-04 1.00000000e-05
4.94645882e+01 3.34959023e-04 1.00000000e-05
4.94612908e+01 3.14320076e-04 1.00000000e-05
4.94579936e+01 3.33147163e-04 1.00000000e-05
4.94546966e+01 3.26824618e-04 1.00000000e-05
4.94513998e+01 3.42325386e-04 1.00000000e-05
4.94481033e+01 3.49357288e-04 1.00000000e-05
4.94448070e+01 3.20213701e-04 1.00000000e-05
4.94415109e+01 3.14976982e-04 1.00000000e-05
